,pl_orbper,pl_rade,pl_tranmid,pl_trandep,st_teff,st_rad,st_logg,ra,dec,target
8531,534.86668,4.3,2455042.0227,565.0,6668.0,1.791,4.074,286.67697,41.826874,0
8532,43.535891,1.86,2454988.20055,576.6,5481.0,0.778,4.592,289.70703,41.84354,1
8533,1.39797542,0.49,2454964.6767,43.2,5074.0,0.761,4.536,290.18521,41.867222,0
8534,2.2127498,0.68,2454965.7452,22.7,6195.0,1.405,4.106,291.60077,41.830639,0
8535,0.776976021,48.15,2454965.2745574,21245.0,5999.0,1.042,4.423,291.99298,41.884125,0
8536,2.25353739,96.65,2454965.486708,182830.0,6951.0,1.662,4.119,297.13776,42.68,0
8537,17.99646148,114.45,2454972.5431461,62755.0,5684.0,2.249,3.788,283.01212,42.721272,0
8538,1.386249249,78.6,2454965.742206,47188.0,6226.0,1.594,4.135,283.16901,42.792114,0
8539,0.53482911,0.54,2454964.7369,704.0,3229.0,0.201,5.08,286.61896,42.778561,0
8540,0.566799833,1.27,2454964.64094,198.0,5488.0,0.789,4.584,291.28311,42.741859,0
8541,0.566795728,0.64,2454964.8148,18.9,6130.0,1.393,4.151,291.65759,42.729649,0
8542,14.665759784,67.17,2454972.5741023,336980.0,5385.0,1.002,4.369,291.70828,42.797001,0
8543,0.566780836,0.75,2454964.8749,60.9,5949.0,0.962,4.493,291.74335,42.769482,0
8544,4.7368156,0.6,2454964.7876,35.3,6088.0,1.011,4.456,289.20331,44.505138,1
8545,15.44605962,52.93,2454978.5341274,330910.0,5838.0,0.897,4.529,296.43854,43.965961,0
8546,1.790518325,32.19,2454965.9384734,61542.0,6586.0,1.219,4.319,296.55594,43.967758,0
8547,40.7698541,1.87,2454991.86363,239.8,5884.0,1.21,4.306,297.46857,43.98201,1
8548,129.222771,2.01,2455088.1859,445.3,4934.0,0.809,4.515,298.70001,43.97649,1
8549,1.03905082,0.87,2454965.5348,43.8,6558.0,1.28,4.239,299.27612,43.936829,0
8550,0.503201954,2.99,2454964.78436,43.0,6157.0,2.306,3.827,299.48206,43.916603,0
8551,7.140373046,61.56,2454971.008012,205260.0,5945.0,1.333,4.168,300.7731,43.962132,0
8552,53.647084859,142.04,2454985.97204,219100.0,5261.0,2.943,3.506,300.83307,43.962311,0
8553,2.496328637,112.28,2454965.2054088,20527.0,6757.0,2.615,3.842,289.23157,45.164322,0
8554,16.31328124,30.85,2454969.853981,71589.0,6008.0,1.006,4.44,289.53668,45.105141,0
8555,1.721313779,83.69,2454965.5318957,534620.0,5960.0,1.073,4.371,289.74515,45.18716,0
8556,5.01880305,1.08,2454965.25191,98.7,6220.0,1.083,4.398,290.21255,45.134991,1
8557,1.50650745,1.13,2454965.98683,27.8,6839.0,2.02,4.003,293.82175,45.10775,0
8558,8.209514329,149.52,2454967.0632157,141390.0,6258.0,2.111,3.882,298.44855,45.104176,0
8559,3.431126546,47.48,2454966.593104,40248.0,5815.0,0.969,4.349,285.6626,45.21772,0
8560,1.583334941,52.0,2454965.377894,177070.0,5846.0,0.953,4.472,286.78952,45.271381,0
